Country,lat,lng,Cases,Deaths,Recovered,Cases (label)
China,35.8617,104.1954,80928,3245,70420,"80,000+"
Italy,41.87194,12.56738,"41,035",3405,2941,"41,000+"
Islamic Republic of Iran,32.427908,53.688046,18407,988,1284,"18,000+"
Republic of Korea,35.907757,127.766922,8565,91,1947,"11,000+"
Spain,40.463667,-3.74922,"18,007",831,1107,"11,000+"
Germany,51.165691,10.451526,15320,44,115,"9,000+"
France,46.227638,2.213749,10995,372,1295,"7,000+"
United States of America,37.09024,-95.712891,,149,17,"10,000+"
Japan,36.204824,138.252924,878,29,144,800+
United Kingdom,55.378051,-3.435973,3269,144,53,"3,000+"
Switzerland,46.818188,8.227512,2700,27,4,"2,000+"
Norway,60.472024,8.468946,1463,3,1,"1,000+"
Sweden,60.128161,18.643501,1190,7,1,900+
Netherlands,52.132633,5.291266,1705,43,2,900+
Denmark,56.26392,9.501785,977,4,1,800+
Belgium,50.503887,4.469936,1243,10,1,600+
Austria,47.516231,14.550072,1332,3,1,600+
Qatar,25.354826,51.183884,439,0,4,300+
Australia,-25.274398,133.775136,565,6,43,200+
Canada,56.130366,-106.346771,598,8,12,200+
Malaysia,4.210484,101.975766,673,2,49,200+
Greece,39.074208,21.824312,387,5,8,200+
Finland,61.92411,25.748151,321,0,10,200+
Singapore,1.352083,103.819836,266,0,114,200+
Bahrain,25.930414,50.637772,228,1,81,200+
Israel,31.046051,34.851612,337,0,11,100+
Czech Republic,49.817492,15.472962,396,0,3,100+
Slovenia,46.1512,14.9955,275,1,0,100+
Portugal,39.399872,-8.224454,448,1,3,100+
Iceland,64.963051,-19.020835,220,1,0,100+
Brazil,-14.235004,-51.92528,321,1,2,
Hong Kong,22.396428,114.109497,162,4,88,100+
West Bank and Gaza,31.952162,35.233154,35,0,0,100+
Ireland,53.41291,-8.24389,223,2,5,
Romania,45.943161,24.96676,184,0,16,100+
Estonia,58.595272,25.013607,225,0,1,100+
Philippines,12.879721,121.774017,187,12,5,100+
Iraq,33.223191,43.679291,154,11,32,100+
Egypt,26.820553,30.802498,196,4,32,100+
Kuwait,29.31166,47.481766,130,0,9,100+
Poland,51.9
