"9","countryName","totalCases","newCases","totalDeaths","newDeaths","totalRecovered","activeCases","seriousCases","casesPerM","undefined_2"
"6","USA","112,560","+8,434","1,878","+182","3,219","107,463","2,666","340","Jan 20"
"151","Italy","86,498","","9,134","","10,950","66,414","3,732","1,431","Jan 29"
"124","Spain","72,248","+6,529","5,812","+674","12,285","54,151","4,165","1,545","Jan 30"
"5","Germany","53,340","+2,469","399","+48","6,658","46,283","1,581","637","Jan 26"
"30","Iran","35,408","+3,076","2,517","+139","11,679","21,212","3,206","422","Feb 18"
"31","France","32,964","","1,995","","5,700","25,269","3,787","505","Jan 23"
"15","UK","17,089","+2,546","1,019","+260","135","15,935","163","252","Jan 30"
"28","Switzerland","13,377","+449","242","+11","1,530","11,605","280","1,546","Feb 24"
"37","Netherlands","9,762","+1,159","639","+93","3","9,120","761","570","Feb 26"
"3","S. Korea","9,478","+146","144","+5","4,811","4,523","59","185","Jan 19"
"30","Belgium","9,134","+1,850","353","+64","1,063","7,718","789","788","Feb 03"
"8","Austria","8,030","+333","68","+10","225","7,737","128","892","Feb 24"
"1","Turkey","5,698","","92","","42","5,564","241","68","Mar 09"
"10","Portugal","5,170","+902","100","+24","43","5,027","89","507","Mar 01"
"1","Canada","4,782","+25","55","","354","4,373","120","127","Jan 24"
"4","Norway","3,973","+202","20","+1","7","3,946","76","733","Feb 25"
"0.5","Australia","3,635","+257","14","+1","170","3,451","23","143","Jan 24"
"0.4","Brazil","3,477","+60","93","+1","6","3,378","296","16","Feb 24"
"1","Israel","3,460","+425","12","","89","3,359","50","400","Feb 20"
"10","Sweden","3,069","","105","","16","2,948","214","304","Jan 30"
"0.8","Czechia","2,541","+262","9","","11","2,521","34","237","Feb 29"
"0.8","Malaysia","2,320","+159","27","+1","320","1,973","54","72","Jan 24"
"11","Denmark","2,201","+155","65","+13","1","2,135","109","380","Feb 26"
"4","Ireland","2,121","","22","","5","2,094","59","430","Feb 28"
"0.3","Chile","1,909","+299","6","+1","61","1,842","7","100","Mar 02"
"3","Ecuador","1,823","+196","48","+7","3","1,772","58","103","Feb 28"
"24","Luxembourg","1,605","","15","","40","1,550","25","2,564","Feb 28"
"0.4","Japan","1,499","","49","","404","1,046","56","12","Jan 14"
"0.4","Poland","1,481","+92","17","+1","7","1,457","3","39","Mar 03"
"2","Romania","1,452","+160","30","+4","139","1,283","34","75","Feb 25"
"0.05","Pakistan","1,420","+47","12","+1","29","1,379","7","6","Feb 25"
"0.03","Russia","1,264","+228","4","","49","1,211","8","9","Jan 30"
"0.09","Thailand","1,245","+109","6","+1","97","1,142","11","18","Jan 12"
"0.1","Saudi Arabia","1,203","+99","4","+1","37","1,162","6","35","Mar 01"
"0.02","South Africa","1,170","","1","","31","1,138","7","20","Mar 04"
"2","Finland","1,167","+126","9","+2","10","1,148","32","211","Jan 28"
"0.4","Indonesia","1,155","+109","102","+15","59","994","","4","Mar 01"
"0.6","Philippines","1,075","+272","68","+14","35","972","1","10","Jan 29"
"3","Greece","1,061","+95","32","+4","52","977","66","102","Feb 25"
"6","Iceland","963","+73","2","","97","864","18","2,822","Feb 27"
"0.01","India","933","+46","20","","84","829","","0.7","Jan 29"
"0.3","Singapore","802","+70","2","","198","602","19","137","Jan 22"
"3","Panama","786","","14","","2","770","20","182","Mar 09"
"3","Dominican Republic","719","+138","28","+8","3","688","","66","Feb 29"
